Date,Open,High,Low,Close,Volume
25-Jul-17,118.99,119.32,118.79,118.92,6202988
24-Jul-17,119.52,119.58,119.18,119.31,3654331
21-Jul-17,119.00,119.39,118.75,119.26,10135919
20-Jul-17,117.92,118.62,117.66,118.24,5571648
19-Jul-17,118.18,118.27,117.84,118.08,3205142
18-Jul-17,117.99,118.33,117.88,118.11,7158573
17-Jul-17,117.42,117.53,117.23,117.29,5170849
14-Jul-17,117.04,117.25,116.64,116.77,5788219
13-Jul-17,116.04,116.04,115.67,115.82,4148935
12-Jul-17,116.21,116.33,115.87,116.03,4654361
11-Jul-17,115.26,115.77,114.88,115.62,6637939
10-Jul-17,115.02,115.57,114.83,115.47,4970886
7-Jul-17,115.78,115.79,114.80,115.28,11153608
6-Jul-17,116.58,116.61,116.24,116.47,4443390
5-Jul-17,115.91,116.67,115.87,116.52,7223256
3-Jul-17,116.54,116.85,115.94,116.09,12145049
30-Jun-17,118.08,118.41,117.95,118.02,7272612
29-Jun-17,117.97,118.64,117.91,118.32,7705165
28-Jun-17,119.06,119.06,118.68,118.90,4220130
27-Jun-17,118.87,119.05,118.48,118.81,5759344
26-Jun-17,118.29,118.54,118.17,118.36,6593380
23-Jun-17,119.65,119.66,119.31,119.43,9258628
22-Jun-17,119.13,119.20,118.60,118.92,5811927
21-Jun-17,118.15,118.66,118.15,118.52,4723749
20-Jun-17,118.42,118.46,118.07,118.18,4617387
19-Jun-17,118.74,118.84,118.33,118.43,6786973
16-Jun-17,119.35,119.50,119.24,119.34,6435674
15-Jun-17,119.22,119.50,119.13,119.32,6796668
14-Jun-17,121.51,121.88,119.57,119.82,21124841
13-Jun-17,119.95,120.71,119.92,120.48,3786628
12-Jun-17,120.33,120.68,120.26,120.36,4927375
9-Jun-17,120.46,120.91,120.40,120.54,7054664
8-Jun-17,122.07,122.08,120.95,121.65,8169807
7-Jun-17,122.79,123.16,122.02,122.45,9039175
6-Jun-17,123.09,123.31,122.77,123.10,10798527
5-Jun-17,121.91,121.94,121.58,121.73,3979162
2-Jun-17,121.31,121.71,121.19,121.61,7268054
1-Jun-17,120.17,120.74,120.06,120.72,8702543
31-May-17,120.31,121.23,120.26,120.62,10360724
30-May-17,120.24,120.33,119.95,120.14,4507493
26-May-17,120.49,120.79,120.33,120.54,6791648
25-May-17,119.52,119.70,119.29,119.48,4105092
24-May-17,119.07,119.74,118.92,119.61,7064911
23-May-17,120.13,120.19,118.98,119.14,8305434
22-May-17,119.63,120.14,119.58,119.90,5132485
19-May-17,119.39,119.54,118.88,119.40,6787254
18-May-17,119.77,119.84,118.56,118.81,10341141
17-May-17,119.36,120.02,119.27,119.79,13936876
16-May-17,117.45,117.91,117.40,117.65,4942822
15-May-17,117.52,117.54,116.99,117.14,5019589
12-May-17,117.07,117.16,116.73,116.83,5434477
11-May-17,116.21,116.84,116.18,116.50,6274368
10-May-17,116.42,116.50,115.86,116.04,4290459
9-May-17,116.18,116.24,115.56,116.05,6801280
8-May-17,117.03,117.14,116.68,116.75,5438375
5-May-17,116.86,117.07,116.68,117.01,7127199
4-May-17,116.81,117.28,116.63,116.79,12406931
3-May-17,119.18,119.34,117.92,117.98,10811052
2-May-17,119.30,119.65,119.24,119.65,4900784
1-May-17,120.21,120.75,119.35,119.67,9331809
28-Apr-17,120.34,120.77,120.27,120.77,9134246
27-Apr-17,120.42,120.60,119.97,120.39,8266954
26-Apr-17,120.21,120.96,119.87,120.84,9758844
25-Apr-17,120.53,120.87,120.05,120.25,10344784
24-Apr-17,120.77,121.51,120.66,121.48,11053559
21-Apr-17,122.14,122.61,121.73,122.31,15608031
20-Apr-17,121.82,122.17,121.50,121.96,11787330
19-Apr-17,122.25,122.26,121.28,121.73,8472702
18-Apr-17,122.43,123.03,121.73,122.82,10903701
17-Apr-17,122.55,123.07,121.99,122.24,8469580
13-Apr-17,122.54,122.65,122.03,122.60,9892641
12-Apr-17,121.38,122.22,121.14,122.02,9502540
11-Apr-17,120.33,121.40,120.29,121.19,12455294
10-Apr-17,119.04,119.69,118.85,119.46,4623673
7-Apr-17,120.30,120.67,119.14,119.46,12351114
6-Apr-17,119.22,119.42,118.98,119.18,4633470
